scenario_id,gpu,model,input_length,output_length,batch_size,use_case,description,input_category,output_category,total_tokens
1,L4,LLaMA_3.1_8B,512,32,1,quick_qa,빠른 Q&A: 512→32 토큰,input_512,output_32,544
2,L4,LLaMA_3.1_8B,512,64,1,quick_qa,빠른 Q&A: 512→64 토큰,input_512,output_64,576
3,L4,LLaMA_3.1_8B,512,128,1,quick_qa,빠른 Q&A: 512→128 토큰,input_512,output_128,640
4,L4,LLaMA_3.1_8B,512,256,1,chat_response,채팅 응답: 512→256 토큰,input_512,output_256,768
5,L4,LLaMA_3.1_8B,512,512,1,document_summary,문서 요약: 512→512 토큰,input_512,output_512,1024
6,L4,LLaMA_3.1_8B,1024,32,1,chat_response,채팅 응답: 1024→32 토큰,input_1024,output_32,1056
7,L4,LLaMA_3.1_8B,1024,64,1,chat_response,채팅 응답: 1024→64 토큰,input_1024,output_64,1088
8,L4,LLaMA_3.1_8B,1024,128,1,chat_response,채팅 응답: 1024→128 토큰,input_1024,output_128,1152
9,L4,LLaMA_3.1_8B,1024,256,1,chat_response,채팅 응답: 1024→256 토큰,input_1024,output_256,1280
10,L4,LLaMA_3.1_8B,1024,512,1,document_summary,문서 요약: 1024→512 토큰,input_1024,output_512,1536
11,L4,LLaMA_3.1_8B,1024,1024,1,content_generation,콘텐츠 생성: 1024→1024 토큰,input_1024,output_1024,2048
12,L4,LLaMA_3.1_8B,2048,32,1,document_summary,문서 요약: 2048→32 토큰,input_2048,output_32,2080
13,L4,LLaMA_3.1_8B,2048,64,1,document_summary,문서 요약: 2048→64 토큰,input_2048,output_64,2112
14,L4,LLaMA_3.1_8B,2048,128,1,document_summary,문서 요약: 2048→128 토큰,input_2048,output_128,2176
15,L4,LLaMA_3.1_8B,2048,256,1,document_summary,문서 요약: 2048→256 토큰,input_2048,output_256,2304
16,L4,LLaMA_3.1_8B,2048,512,1,document_summary,문서 요약: 2048→512 토큰,input_2048,output_512,2560
17,L4,LLaMA_3.1_8B,2048,1024,1,content_generation,콘텐츠 생성: 2048→1024 토큰,input_2048,output_1024,3072
18,L4,LLaMA_3.1_8B,2048,2048,1,content_generation,콘텐츠 생성: 2048→2048 토큰,input_2048,output_2048,4096
19,L4,LLaMA_3.1_8B,256,32,1,quick_qa,빠른 Q&A: 256→32 토큰,input_256,output_32,288
20,L4,LLaMA_3.1_8B,256,64,1,quick_qa,빠른 Q&A: 256→64 토큰,input_256,output_64,320
21,L4,LLaMA_3.1_8B,256,128,1,quick_qa,빠른 Q&A: 256→128 토큰,input_256,output_128,384
22,L4,LLaMA_3.1_8B,256,256,1,chat_response,채팅 응답: 256→256 토큰,input_256,output_256,512
23,L4,LLaMA_3.1_8B,4096,32,1,long_context,긴 컨텍스트: 4096→32 토큰,input_4096,output_32,4128
24,L4,LLaMA_3.1_8B,4096,64,1,long_context,긴 컨텍스트: 4096→64 토큰,input_4096,output_64,4160
25,L4,LLaMA_3.1_8B,4096,128,1,long_context,긴 컨텍스트: 4096→128 토큰,input_4096,output_128,4224
26,L4,LLaMA_3.1_8B,4096,256,1,long_context,긴 컨텍스트: 4096→256 토큰,input_4096,output_256,4352
27,L4,LLaMA_3.1_8B,4096,512,1,content_generation,콘텐츠 생성: 4096→512 토큰,input_4096,output_512,4608
